island name,Region,Area km2,Perimeter km,abiotic_plant,zoo_plant,total plant,kgc variety,kgc median,phz_variety,phz median,elevation mean,elevation std,elevation range,precipitation mean,precipitation std,precipitation range,median_soil,soil_variety,near_length,number_near,mass_effect,native total bird,native total reptile,native total mammal,native total frugivore,total_bird_mass,total_mammal_mass,total_reptile_mass,total_frugivore_mass,min_temp_range,min_temp_mean,Centroid_X,Centroid_Y
Saint Croix,PR+VI,251.8890121,101.2295567,685,420,1105,1,3,1,140,56.54872654,59.01292185,356,1086.838346,50.0854176,120,56,2,18607.89643,7,99.38571927,27,2,2,32,2178,67,8246,10477,1.700000763,20.51333319,-64.76727862,17.73612118
New Providence,Bahamas,243.0491307,95.9069695,520,209,729,1,3,1,130,6.767517828,4.677815075,60,1301.329825,33.21102102,107,99,1,36585.0745,9,1134.808656,51,8,13,70,2468,38,12045,14527,1.5,19.37499952,-77.40351659,25.03130637
Grand Cayman,Cuba,239.3584521,127.9983702,861,349,1210,1,3,1,140,5.179045028,3.566915378,31,1433.944,22.69847713,31,0,1,111020,0,NA,43,7,2,52,2183,52,33008,28215,0.699998856,20.12611968,-81.25729141,19.32053017
North Caicos,Bahamas,202.9550813,158.1101585,467,288,755,1,6,1,135,4.662265109,4.996311809,32,781.9802372,14.88067176,21,0,1,122.9161723,8,290.2749372,39,2,5,46,2327,0,5650,7975,1,21.38181814,-71.96147311,21.88146009
East Caicos,Bahamas,190.1674027,131.4118009,454,263,717,2,6,2,135,2.368769963,4.334298623,38,760.5377778,22.19849133,29,0,1,938.312943,6,228.1434482,37,2,0,39,1757,0,5650,7405,0.5,18.4966019,-71.54674066,21.67773056
Cuba cluster 1,Cuba,189.0468648,415.4826064,1146,535,1681,1,3,3,130,1.926341169,2.742780418,40,1191.656716,36.56884147,108,99,1,2479.24509,6,102.2646415,36,10,8,52,2173,11300,17816,31261,1.100000381,19.0210753,-79.06871883,22.57638227
Saint Kitts,Lesser Antilles,179.5709971,77.86288946,586,260,846,3,1,1,140,198.2343381,211.5396127,1134,1379.695652,91.17890854,185,0,1,12826.57164,6,118.2101317,19,6,2,27,1342,130,11756,13208,6.100000381,19.54000015,-62.7662308,17.33992907
Tortuga,Hispaniola,178.9591834,77.82993662,794,457,1251,3,1,2,135,141.9437103,92.94567466,364,1467.441748,127.649756,281,0,1,7027.230617,1,74777.48525,27,9,0,36,1473,0,11856,13917,1.799999237,19.39999962,-72.78730662,20.04174918
Barbuda,Lesser Antilles,176.7290499,99.29578604,552,353,905,1,3,1,140,10.87220044,10.05931515,69,951.9462366,19.22943845,21,82,2,40910.01784,5,173.1616347,18,6,2,26,1156,88,11755,12983,0.700000763,19.44856486,-61.80166772,17.6347834
Saint-Louis,Lesser Antilles,173.6524469,53.44918127,481,410,891,2,1,1,140,77.71398363,55.93481256,196,1442.590674,47.59036472,70,93,2,7871.137965,3,113.8955762,18,3,2,24,1140,88,11733,12968,1.299999237,19.03125012,-61.26569325,15.93385313
San Salvador Island,Bahamas,170.8253557,73.3170698,312,206,518,1,3,1,135,7.502572899,6.129896411,41,980.9137056,10.49958496,22,99,1,34142.89736,3,170.8313043,35,5,0,39,1450,0,2668,4110,0.399999619,17.40740705,-74.49019064,24.03848398
Vieques,PR+VI,162.501126,105.2955189,296,101,397,3,2,1,140,34.04484273,37.6285752,290,1288.13253,127.9175912,66,0,1,9432.090604,7,3519.127986,27,6,2,36,2166,63,143,2342,1.700000763,23.56818173,-65.43909168,18.12652777
Cayo Guajaba,Cuba,125.7387884,137.9108765,1124,524,1648,1,3,1,125,3.594179172,4.611502982,53,1210.613139,19.06931198,19,99,1,0,4,4863.303182,49,6,2,76,3719,12932,17805,34606,0.399999619,16.810845,-77.53321611,21.85386308
Providenciales,Bahamas,122.5622578,136.6877482,405,220,625,1,6,1,135,8.456200971,7.108992305,50,769.0223881,9.050823676,8,0,1,8330.895699,8,194.403178,37,3,4,44,2064,0,5654,7722,1,18.91351329,-72.26524677,21.7911887
Isla Saona,Hispaniola,121.4402892,62.28384158,755,464,1219,1,3,1,140,7.505392912,7.232063635,31,978.3458647,9.038801165,24,0,1,668.8922357,2,74029.65907,30,7,0,52,2236,0,208,22537,0.600000381,16.51558428,-68.68364157,18.14890105
Little Inagua,Bahamas,121.2752313,48.22230527,498,251,749,1,6,1,140,7.106727221,2.854592814,31,789.7916667,9.527646177,15,0,1,10179.34086,5,1039.652069,36,0,0,36,1663,0,0,1663,0.299999237,19.30540554,-73.00064195,21.49158256
